ADC Value,Voltage (V),Jaundice Level
465,1.5,Mild Jaundice
473,1.526,Mild Jaundice
475,1.532,Mild Jaundice
473,1.526,Mild Jaundice
474,1.529,Mild Jaundice
461,1.487,Mild Jaundice
449,1.448,Mild Jaundice
470,1.516,Mild Jaundice
471,1.519,Mild Jaundice
478,1.542,Mild Jaundice
463,1.494,Mild Jaundice
120,0.387,Normal
122,0.394,Normal
122,0.394,Normal
122,0.394,Normal
117,0.377,Normal
117,0.377,Normal
121,0.39,Normal
123,0.397,Normal
488,1.574,Mild Jaundice
306,0.987,Normal
386,1.245,Normal
288,0.929,Normal
289,0.932,Normal
289,0.932,Normal
725,2.339,Moderate Jaundice
741,2.39,Moderate Jaundice
754,2.432,Moderate Jaundice
724,2.335,Moderate Jaundice
727,2.345,Moderate Jaundice
440,1.419,Mild Jaundice
439,1.416,Mild Jaundice
560,1.806,Mild Jaundice
434,1.4,Mild Jaundice
778,2.51,Moderate Jaundice
811,2.616,Severe Jaundice
830,2.677,Severe Jaundice
883,2.848,Severe Jaundice
889,2.868,Severe Jaundice
828,2.671,Severe Jaundice
888,2.865,Severe Jaundice
828,2.671,Severe Jaundice
882,2.845,Severe Jaundice
541,1.745,Mild Jaundice
536,1.729,Mild Jaundice
315,1.016,Normal
289,0.932,Normal
165,0.532,Normal
118,0.381,Normal
84,0.271,Normal
79,0.255,Normal
68,0.219,Normal
65,0.21,Normal
74,0.239,Normal
64,0.206,Normal
56,0.181,Normal
56,0.181,Normal
349,1.126,Normal
108,0.348,Normal
432,1.394,Mild Jaundice
507,1.635,Mild Jaundice
452,1.458,Mild Jaundice
278,0.897,Normal
465,1.5,Mild Jaundice
481,1.552,Mild Jaundice
648,2.09,Moderate Jaundice
653,2.106,Moderate Jaundice
782,2.523,Moderate Jaundice
486,1.568,Mild Jaundice
477,1.539,Mild Jaundice
480,1.548,Mild Jaundice
538,1.735,Mild Jaundice
497,1.603,Mild Jaundice
795,2.565,Moderate Jaundice
916,2.955,Severe Jaundice
988,3.187,Severe Jaundice
988,3.187,Severe Jaundice
988,3.187,Severe Jaundice
979,3.158,Severe Jaundice
984,3.174,Severe Jaundice
781,2.519,Moderate Jaundice
718,2.316,Moderate Jaundice
822,2.652,Severe Jaundice
871,2.81,Severe Jaundice
849,2.739,Severe Jaundice
828,2.671,Severe Jaundice
807,2.603,Severe Jaundice
751,2.423,Moderate Jaundice
747,2.41,Moderate Jaundice
922,2.974,Severe Jaundice
985,3.177,Severe Jaundice
980,3.161,Severe Jaundice
916,2.955,Severe Jaundice
716,2.31,Moderate Jaundice
796,2.568,Moderate Jaundice
532,1.716,Mild Jaundice
705,2.274,Moderate Jaundice
855,2.758,Severe Jaundice
833,2.687,Severe Jaundice
952,3.071,Severe Jaundice
957,3.087,Severe Jaundice
814,2.626,Severe Jaundice
870,2.806,Severe Jaundice
608,1.961,Moderate Jaundice
684,2.206,Moderate Jaundice
691,2.229,Moderate Jaundice
476,1.535,Mild Jaundice
474,1.529,Mild Jaundice
922,2.974,Severe Jaundice
970,3.129,Severe Jaundice
991,3.197,Severe Jaundice
997,3.216,Severe Jaundice
982,3.168,Severe Jaundice
962,3.103,Severe Jaundice
984,3.174,Severe Jaundice
1000,3.226,Severe Jaundice
1001,3.229,Severe Jaundice
1003,3.235,Severe Jaundice
1008,3.252,Severe Jaundice
1011,3.261,Severe Jaundice
1010,3.258,Severe Jaundice
1011,3.261,Severe Jaundice
536,1.729,Mild Jaundice
489,1.577,Mild Jaundice
487,1.571,Mild Jaundice
278,0.897,Normal
477,1.539,Mild Jaundice
246,0.794,Normal
160,0.516,Normal
152,0.49,Normal
146,0.471,Normal
273,0.881,Normal
253,0.816,Normal
249,0.803,Normal
326,1.052,Normal
493,1.59,Mild Jaundice
486,1.568,Mild Jaundice
494,1.594,Mild Jaundice
673,2.171,Moderate Jaundice
401,1.294,Mild Jaundice
555,1.79,Mild Jaundice
592,1.91,Mild Jaundice
572,1.845,Mild Jaundice
365,1.177,Normal
613,1.977,Moderate Jaundice
605,1.952,Moderate Jaundice
458,1.477,Mild Jaundice
577,1.861,Mild Jaundice
500,1.613,Mild Jaundice
452,1.458,Mild Jaundice
571,1.842,Mild Jaundice
696,2.245,Moderate Jaundice
680,2.194,Moderate Jaundice
693,2.235,Moderate Jaundice
694,2.239,Moderate Jaundice
893,2.881,Severe Jaundice
785,2.532,Moderate Jaundice
909,2.932,Severe Jaundice
922,2.974,Severe Jaundice
653,2.106,Moderate Jaundice
684,2.206,Moderate Jaundice
631,2.035,Moderate Jaundice
607,1.958,Moderate Jaundice
427,1.377,Mild Jaundice
378,1.219,Normal
390,1.258,Normal
261,0.842,Normal
160,0.516,Normal
121,0.39,Normal
64,0.206,Normal
62,0.2,Normal
67,0.216,Normal
669,2.158,Moderate Jaundice
